Row,Time Code,Peak Nr,Component,BGD 44,BGD 45,BGD 46,Ampl  44,Ampl  45,Ampl  46,Area 44,Area 45,Area 46,R 45CO2/44CO2,R 46CO2/44CO2,d 13C/12C,d 18O/16O
17,2022/07/13 13:27:19,4,,1.6,1.9,2.2,122,141,178,2.426,0.278,0.106,0.0120219,0.0042447,1.263,56.071
17,2022/07/13 13:27:19,5,,1.3,1.5,1.7,1139,1303,1578,22.303,2.552,0.926,0.0119851,0.0040194,0.02,-0.036
17,2022/07/13 13:27:19,6,,1.4,1.5,1.7,1139,1303,1577,22.315,2.553,0.927,0.0119849,0.0040196,0,0
18,2022/07/13 13:36:00,4,,1.5,1.8,2.2,1595,1866,2295,32.598,3.806,1.407,0.0122285,0.0041784,20.343,39.508
18,2022/07/13 13:36:00,5,,2.0,2.2,2.6,1139,1303,1576,22.277,2.549,0.925,0.0119858,0.0040202,0.08,0.151
18,2022/07/13 13:36:00,6,,1.7,1.9,2.4,1139,1303,1576,22.304,2.552,0.926,0.0119849,0.0040196,0,0
19,2022/07/13 13:44:41,4,,1.5,1.7,2.1,2095,2442,3009,43.2,5.025,1.861,0.0121799,0.0041693,16.072,37.257
19,2022/07/13 13:44:41,5,,2.2,2.5,3.1,1139,1303,1576,22.265,2.548,0.925,0.0119856,0.0040195,0.063,-0.022
19,2022/07/13 13:44:41,6,,1.9,2.2,2.6,1139,1303,1577,22.31,2.553,0.927,0.0119849,0.0040196,0,0
20,2022/07/13 13:53:21,4,,1.6,1.8,2.1,1500,1755,2160,30.876,3.606,1.334,0.0122292,0.0041807,20.383,40.085
20,2022/07/13 13:53:21,5,,1.9,2.2,2.7,1138,1303,1577,22.278,2.55,0.926,0.011986,0.0040198,0.101,0.058
20,2022/07/13 13:53:21,6,,1.7,2.0,2.4,1139,1303,1577,22.305,2.553,0.927,0.0119849,0.0040196,0,0
21,2022/07/13 14:02:01,4,,1.6,1.8,2.1,1322,1544,1906,26.915,3.141,1.165,0.0122162,0.0041867,19.166,41.591
21,2022/07/13 14:02:01,5,,1.9,2.1,2.5,1139,1304,1577,22.302,2.554,0.927,0.0119864,0.0040204,0.127,0.2
21,2022/07/13 14:02:01,6,,1.7,1.9,2.4,1138,1303,1577,22.301,2.553,0.927,0.0119849,0.0040196,0,0
22,2022/07/13 14:10:40,4,,1.6,1.8,2.2,1273,1489,1836,25.843,3.02,1.119,0.0122312,0.0041879,20.494,41.878
